,STATION,Day of Week,ENTRIES
300,21 ST-QNSBRIDGE,6,4382.862068965517
301,215 ST,0,1577.6206896551723
302,215 ST,1,1702.8275862068965
303,215 ST,2,1718.0689655172414
304,215 ST,3,1683.9827586206898
305,215 ST,4,1647.8793103448277
306,215 ST,5,938.1206896551724
307,215 ST,6,710.551724137931
308,219 ST,0,2909.310344827586
309,219 ST,1,3078.4310344827586
310,219 ST,2,3156.7586206896553
311,219 ST,3,3161.206896551724
312,219 ST,4,3207.905172413793
313,219 ST,5,1650.4310344827586
314,219 ST,6,1216.2413793103449
315,225 ST,0,3568.7241379310344
316,225 ST,1,3744.448275862069
317,225 ST,2,3857.0689655172414
318,225 ST,3,3820.5689655172414
319,225 ST,4,3815.2241379310344
320,225 ST,5,2035.7931034482758
321,225 ST,6,1539.5862068965516
322,23 ST,0,91778.2627118644
323,23 ST,1,103657.95762711864
324,23 ST,2,104222.07627118644
325,23 ST,3,106286.40677966102
326,23 ST,4,90934.69491525424
327,23 ST,5,45404.372881355936
328,23 ST,6,35859.28813559322
329,231 ST,0,9035.103448275862
330,231 ST,1,9675.241379310344
331,231 ST,2,9976.310344827587
332,231 ST,3,9962.172413793103
333,231 ST,4,9756.189655172413
334,231 ST,5,4726.103448275862
335,231 ST,6,3869.793103448276
336,233 ST,0,4335.4655172413795
337,233 ST,1,4506.051724137931
338,233 ST,2,4623.293103448276
339,233 ST,3,4588.0344827586205
340,233 ST,4,4563.431034482759
341,233 ST,5,2434.896551724138
342,233 ST,6,1763.4655172413793
343,238 ST,0,2802.8928571428573
344,238 ST,1,3042.8035714285716
345,238 ST,2,3072.9821428571427
346,238 ST,3,3103.4464285714284
347,238 ST,4,3072.909090909091
348,238 ST,5,1276.0
349,238 ST,6,1063.4642857142858
350,25 AV,0,4656.745762711865
351,25 AV,1,4835.033898305085
352,25 AV,2,4952.135593220339
353,25 AV,3,4973.779661016949
354,25 AV,4,4827.796610169492
355,25 AV,5,2481.9830508474574
356,25 AV,6,2036.6271186440679
357,25 ST,0,3306.0
358,25 ST,1,3567.228813559322
359,25 ST,2,3609.4745762711864
360,25 ST,3,3535.601694915254
361,25 ST,4,3457.101694915254
362,25 ST,5,1894.8813559322034
363,25 ST,6,1496.7966101694915
364,28 ST,0,33832.61016949153
365,28 ST,1,35541.279661016946
366,28 ST,2,36495.101694915254
367,28 ST,3,37057.016949152545
368,28 ST,4,33387.245762711864
369,28 ST,5,16193.864406779661
370,28 ST,6,12815.101694915254
371,3 AV,0,4756.525423728814
372,3 AV,1,5158.186440677966
373,3 AV,2,5236.71186440678
374,3 AV,3,5167.864406779661
375,3 AV,4,5395.745762711865
376,3 AV,5,2807.6949152542375
377,3 AV,6,2362.237288135593
378,3 AV 138 ST,0,7009.836206896552
379,3 AV 138 ST,1,7547.922413793103
380,3 AV 138 ST,2,7785.9655172413795
381,3 AV 138 ST,3,7741.551724137931
382,3 AV 138 ST,4,7608.7155172413795
383,3 AV 138 ST,5,4544.896551724138
384,3 AV 138 ST,6,3600.155172413793
385,3 AV-149 ST,0,19810.931034482757
386,3 AV-149 ST,1,20792.48275862069
387,3 AV-149 ST,2,20362.068965517243
388,3 AV-149 ST,3,20850.637931034482
389,3 AV-149 ST,4,21447.58620689655
390,3 AV-149 ST,5,11137.137931034482
391,3 AV-149 ST,6,7901.827586206897
392,30 AV,0,14595.358490566037
393,30 AV,1,15911.981132075472
394,30 AV,2,16017.944444444445
395,30 AV,3,16049.564814814816
